执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-11 16:45:04
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-11 16:45:08
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-11 17:18:32
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-12 13:44:10
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-12 13:44:17
执行时间：0.0625 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-12 13:44:21
执行时间：0.09375 = URL：/Work/Work/addWork/workStyle/case.html 当前时间:2017-07-12 20:20:45
执行时间：0.078125 = URL：/Work/Work/checkWork/workStyle/case.html 当前时间:2017-07-12 20:20:47
执行时间：0.078125 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-12 20:34:16
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-12 20:34:19
执行时间：0.078125 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-12 20:34:20
执行时间：0.09375 = URL：/Work/Work/addWork.html 当前时间:2017-07-12 20:34:28
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-12 20:34:32
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-12 20:34:44
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-12 20:34:58
执行时间：0.09375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-13 09:40:03
执行时间：0.09375 = URL：/Work/Work/addWork.html 当前时间:2017-07-13 09:40:05
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-13 09:40:09
执行时间：0.09375 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/8/cid/1.html 当前时间:2017-07-13 09:40:17
执行时间：0.09375 = URL：/Work/Work/checkWork/workStyle/test/cid/1.html 当前时间:2017-07-13 09:44:03
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 09:44:08
执行时间：0.09375 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-13 09:44:12
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 09:44:20
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 09:44:36
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 11:53:50
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 11:53:55
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-13 14:22:20
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 14:22:23
执行时间：0.0625 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-13 16:42:21
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 10:19:22
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-14 10:19:26
执行时间：0.09375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-14 10:19:30
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 10:19:32
执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-14 10:19:33
执行时间：0.078125 = URL：/Work/Work/addWork/workStyle/case.html 当前时间:2017-07-14 10:19:40
执行时间：0.09375 = URL：/Work/Work/checkWork/workStyle/case.html 当前时间:2017-07-14 10:19:42
执行时间：0.09375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-14 13:20:48
执行时间：0.078125 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-14 13:31:54
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 13:31:56
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-14 13:32:01
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 13:32:05
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-14 13:32:06
执行时间：0.09375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-14 13:38:03
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 13:38:15
执行时间：0.09375 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-14 15:09:22
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 15:09:28
执行时间：0.078125 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-14 15:47:51
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 15:48:32
执行时间：0.09375 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-14 15:48:33
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 16:16:00
执行时间：0.0625 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 16:16:07
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 16:16:09
执行时间：0.09375 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 16:17:03
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-14 16:17:05
执行时间：0.09375 = URL：/Work/Work/addWork.html 当前时间:2017-07-14 16:17:08
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:27:22
执行时间：0.0625 = URL：/Work/Work/checkWork.html 当前时间:2017-07-14 16:32:40
执行时间：0.09375 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/24/cid/1.html 当前时间:2017-07-14 16:32:51
执行时间：0.0625 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:33:28
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-14 16:33:39
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:37:40
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-14 16:37:43
执行时间：0.0625 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:37:45
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:40:41
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:40:44
执行时间：0.0625 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-14 16:40:53
